Recdate Month ID	Repdate Month ID	Catalog Number	GPID	ISRC	Product Title	Project Title	Artist Name	Config	Config Desc	Config Type	Account	Account Name	Payee	Start Period	End Period	Price Code	Price Desc	Dist. Ch.	Dist Chan Desc	Territory Code	Location	Country	DSP Number	Digital Service Provider(DSP)	Sale Units	Royalty Payable	Deductible Fees	Net Royalty Payable	Net Splitted Royalty Payable	Local Product Number	Marketing Owner	Marketing Owner Name
45661	45302	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55500	CHILE WM	CL	767	Facebook	303	0.012179	0.001827	0.010352	0.001035		5715-329	Woss Music
45661	45302	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55500	CHILE WM	CL	767	Facebook	303	0.012179	0.001827	0.010352	0.001035		5715-329	Woss Music
45661	45658	A10302B0010989909E	A10302B0010989909E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	58400	PERU WM	PE	31	Spotify	3789	0.324530	0.048680	0.275850	0.027585		5715-329	Woss Music
45661	45658	A10302B0010989909E	A10302B0010989909E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	58400	PERU WM	PE	31	Spotify	3789	0.324530	0.048680	0.275850	0.027585		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55500	CHILE WM	CL	775	Instagram	1286	0.051691	0.007754	0.043937	0.004394		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55500	CHILE WM	CL	775	Instagram	1286	0.051691	0.007754	0.043937	0.004394		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55500	CHILE WM	BO	775	Instagram	5445	0.039907	0.005986	0.033921	0.003392		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55500	CHILE WM	BO	775	Instagram	5445	0.039907	0.005986	0.033921	0.003392		5715-329	Woss Music
45661	45303	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	54000	ARGENTINA WM	UY	775	Instagram	91	0.003839	0.000576	0.003263	0.000326		5715-329	Woss Music
45661	45303	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	54000	ARGENTINA WM	UY	775	Instagram	91	0.003839	0.000576	0.003263	0.000326		5715-329	Woss Music
45661	45658	A10302B0010998355Y	A10302B0010998355Y	QZWFE2479894	DURA	BENZE	BENZE	IV	Internet Video	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	54000	ARGENTINA WM	PY	35	YouTube	29867	2.024557	0.303684	1.720873	0.172087		5715-329	Woss Music
45661	45658	A10302B0010998355Y	A10302B0010998355Y	QZWFE2479894	DURA	BENZE	BENZE	IV	Internet Video	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	54000	ARGENTINA WM	PY	35	YouTube	29867	2.024557	0.303684	1.720873	0.172087		5715-329	Woss Music
45661	45303	A10302B0011004399L	A10302B0011004399L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	82650	LEBANON	AE	775	Instagram	4	0.000371	0.000056	0.000315	0.000031		5715-329	Woss Music
45661	45303	A10302B0011004399L	A10302B0011004399L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	82650	LEBANON	AE	775	Instagram	4	0.000371	0.000056	0.000315	0.000031		5715-329	Woss Music
45661	45659	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	DO	779	YouTube Music	6	0.020576	0.003086	0.017490	0.001749		5715-329	Woss Music
45661	45659	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	DO	779	YouTube Music	6	0.020576	0.003086	0.017490	0.001749		5715-329	Woss Music
45661	45660	A10302B0010989839A	A10302B0010989839A	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	US	587	Amazon Prime Music	10	0.040800	0.006120	0.034680	0.003468		5715-329	Woss Music
45661	45660	A10302B0010989839A	A10302B0010989839A	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	US	587	Amazon Prime Music	10	0.040800	0.006120	0.034680	0.003468		5715-329	Woss Music
45661	45659	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	DO	31	Spotify	7	0.020626	0.003094	0.017532	0.001753		5715-329	Woss Music
45661	45659	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	DO	31	Spotify	7	0.020626	0.003094	0.017532	0.001753		5715-329	Woss Music
45661	45303	A10302B0011017693Q	A10302B0011017693Q	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	78500	TURKEY	TR	767	Facebook	53	0.001235	0.000185	0.001050	0.000105		5715-329	Woss Music
45661	45303	A10302B0011017693Q	A10302B0011017693Q	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	78500	TURKEY	TR	767	Facebook	53	0.001235	0.000185	0.001050	0.000105		5715-329	Woss Music
45661	45303	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	82650	LEBANON	LB	775	Instagram	11	0.000076	0.000011	0.000065	0.000006		5715-329	Woss Music
45661	45303	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	82650	LEBANON	LB	775	Instagram	11	0.000076	0.000011	0.000065	0.000006		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55800	COLOMBIA WM	EC	775	Instagram	1794	0.026947	0.004042	0.022905	0.002291		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	55800	COLOMBIA WM	EC	775	Instagram	1794	0.026947	0.004042	0.022905	0.002291		5715-329	Woss Music
45661	45659	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	VE	782	TikTok	83	0.809826	0.121474	0.688352	0.068835		5715-329	Woss Music
45661	45659	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	VE	782	TikTok	83	0.809826	0.121474	0.688352	0.068835		5715-329	Woss Music
45661	45658	A10302B00109896992	A10302B00109896992	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55500	CHILE WM	CL	589	YouTube	5	0.006852	0.001028	0.005824	0.000582		5715-329	Woss Music
45661	45658	A10302B00109896992	A10302B00109896992	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55500	CHILE WM	CL	589	YouTube	5	0.006852	0.001028	0.005824	0.000582		5715-329	Woss Music
45661	45303	A10302B0010989774C	A10302B0010989774C	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	775	Instagram	28	0.000286	0.000043	0.000243	0.000024		5715-329	Woss Music
45661	45303	A10302B0010989774C	A10302B0010989774C	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	775	Instagram	28	0.000286	0.000043	0.000243	0.000024		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	76420	PORTUGAL PLG	PT	767	Facebook	6	0.000386	0.000058	0.000328	0.000033		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	76420	PORTUGAL PLG	PT	767	Facebook	6	0.000386	0.000058	0.000328	0.000033		5715-329	Woss Music
45661	45658	A10302B0011183865R	A10302B0011183865R	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	64000	JAPAN WM	JP	31	Spotify	42	0.113702	0.017055	0.096647	0.009665		5715-329	Woss Music
45661	45658	A10302B0011183865R	A10302B0011183865R	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	64000	JAPAN WM	JP	31	Spotify	42	0.113702	0.017055	0.096647	0.009665		5715-329	Woss Music
45661	45658	A10302B00109896219	A10302B00109896219	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55800	COLOMBIA WM	CO	31	Spotify	8	0.006009	0.000901	0.005108	0.000511		5715-329	Woss Music
45661	45658	A10302B00109896219	A10302B00109896219	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55800	COLOMBIA WM	CO	31	Spotify	8	0.006009	0.000901	0.005108	0.000511		5715-329	Woss Music
45661	45658	A10302B00110039745	A10302B00110039745	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55500	CHILE WM	CL	31	Spotify	1	0.000985	0.000148	0.000837	0.000084		5715-329	Woss Music
45661	45658	A10302B00110039745	A10302B00110039745	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55500	CHILE WM	CL	31	Spotify	1	0.000985	0.000148	0.000837	0.000084		5715-329	Woss Music
45661	45658	A10302B0011183865R	A10302B0011183865R	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	782	TikTok	170	0.773446	0.116017	0.657429	0.065743		5715-329	Woss Music
45661	45658	A10302B0011183865R	A10302B0011183865R	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	782	TikTok	170	0.773446	0.116017	0.657429	0.065743		5715-329	Woss Music
45661	45302	A10302B0011017693Q	A10302B0011017693Q	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	782	TikTok	1	0.004814	0.000722	0.004092	0.000409		5715-329	Woss Music
45661	45302	A10302B0011017693Q	A10302B0011017693Q	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	782	TikTok	1	0.004814	0.000722	0.004092	0.000409		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	77200	SPAIN WM	ES	767	Facebook	140	0.011055	0.001658	0.009397	0.000940		5715-329	Woss Music
45661	45302	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	77200	SPAIN WM	ES	767	Facebook	140	0.011055	0.001658	0.009397	0.000940		5715-329	Woss Music
45661	45660	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	35	YouTube	3450	6.054364	0.908155	5.146209	0.514621		5715-329	Woss Music
45661	45660	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	35	YouTube	3450	6.054364	0.908155	5.146209	0.514621		5715-329	Woss Music
45661	45660	A10302B0011457468J	A10302B0011457468J	QZWFE2479894	DURA	BENZE	BENZE	IV	Internet Video	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	35	YouTube	29	0.030031	0.004505	0.025526	0.002553		5715-329	Woss Music
45661	45660	A10302B0011457468J	A10302B0011457468J	QZWFE2479894	DURA	BENZE	BENZE	IV	Internet Video	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	35	YouTube	29	0.030031	0.004505	0.025526	0.002553		5715-329	Woss Music
45661	45302	A10302B00109896323	A10302B00109896323	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	767	Facebook	5	0.000061	0.000009	0.000052	0.000005		5715-329	Woss Music
45661	45302	A10302B00109896323	A10302B00109896323	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	SV	767	Facebook	5	0.000061	0.000009	0.000052	0.000005		5715-329	Woss Music
45661	45658	A10302B0010989774C	A10302B0010989774C	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55800	COLOMBIA WM	EC	31	Spotify	5	0.006215	0.000932	0.005283	0.000528		5715-329	Woss Music
45661	45658	A10302B0010989774C	A10302B0010989774C	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	55800	COLOMBIA WM	EC	31	Spotify	5	0.006215	0.000932	0.005283	0.000528		5715-329	Woss Music
45661	45303	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	NI	782	TikTok	3	0.009965	0.001495	0.008470	0.000847		5715-329	Woss Music
45661	45303	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57500	MEXICO WM	NI	782	TikTok	3	0.009965	0.001495	0.008470	0.000847		5715-329	Woss Music
45661	45660	A10302B0010989726S	A10302B0010989726S	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	US	589	YouTube	4	0.011821	0.001773	0.010048	0.001005		5715-329	Woss Music
45661	45660	A10302B0010989726S	A10302B0010989726S	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57000	WEA LATINA	US	589	YouTube	4	0.011821	0.001773	0.010048	0.001005		5715-329	Woss Music
45661	45303	A10302B0011004399L	A10302B0011004399L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	75800	HOLLAND WM	NL	767	Facebook	3	0.000381	0.000057	0.000324	0.000032		5715-329	Woss Music
45661	45303	A10302B0011004399L	A10302B0011004399L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	75800	HOLLAND WM	NL	767	Facebook	3	0.000381	0.000057	0.000324	0.000032		5715-329	Woss Music
45661	45303	A10302B0010989909E	A10302B0010989909E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	76420	PORTUGAL PLG	PT	767	Facebook	5	0.000269	0.000040	0.000229	0.000023		5715-329	Woss Music
45661	45303	A10302B0010989909E	A10302B0010989909E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	76420	PORTUGAL PLG	PT	767	Facebook	5	0.000269	0.000040	0.000229	0.000023		5715-329	Woss Music
45661	45660	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	35	YouTube	266	0.247205	0.037081	0.210124	0.021012		5715-329	Woss Music
45661	45660	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	35	YouTube	266	0.247205	0.037081	0.210124	0.021012		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	71500	DENMARK WM	DK	775	Instagram	52	0.006999	0.001050	0.005949	0.000595		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	71500	DENMARK WM	DK	775	Instagram	52	0.006999	0.001050	0.005949	0.000595		5715-329	Woss Music
45661	45658	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	75800	HOLLAND WM	NL	589	YouTube	1	0.007967	0.001195	0.006772	0.000677		5715-329	Woss Music
45661	45658	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	75800	HOLLAND WM	NL	589	YouTube	1	0.007967	0.001195	0.006772	0.000677		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	72500	FRANCE WM	RE	767	Facebook	8	0.000326	0.000049	0.000277	0.000028		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	72500	FRANCE WM	RE	767	Facebook	8	0.000326	0.000049	0.000277	0.000028		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	72500	FRANCE WM	GP	767	Facebook	4	0.000163	0.000024	0.000139	0.000014		5715-329	Woss Music
45661	45303	A10302B0011013438N	A10302B0011013438N	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	72500	FRANCE WM	GP	767	Facebook	4	0.000163	0.000024	0.000139	0.000014		5715-329	Woss Music
45661	45658	A10302B0010998355Y	A10302B0010998355Y	QZWFE2479894	DURA	BENZE	BENZE	IV	Internet Video	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	63500	INDONESIA WM	ID	35	YouTube	57	0.024464	0.003670	0.020794	0.002079		5715-329	Woss Music
45661	45658	A10302B0010998355Y	A10302B0010998355Y	QZWFE2479894	DURA	BENZE	BENZE	IV	Internet Video	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	63500	INDONESIA WM	ID	35	YouTube	57	0.024464	0.003670	0.020794	0.002079		5715-329	Woss Music
45661	45658	A10302B0011183877L	A10302B0011183877L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	68500	TAIWAN WM	TW	35	YouTube	2	0.001427	0.000214	0.001213	0.000121		5715-329	Woss Music
45661	45658	A10302B0011183877L	A10302B0011183877L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	68500	TAIWAN WM	TW	35	YouTube	2	0.001427	0.000214	0.001213	0.000121		5715-329	Woss Music
45661	45303	A10302B0011017693Q	A10302B0011017693Q	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	76860	RUSSIA	UZ	767	Facebook	1	0.000006	0.000001	0.000005	0.000001		5715-329	Woss Music
45661	45303	A10302B0011017693Q	A10302B0011017693Q	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	76860	RUSSIA	UZ	767	Facebook	1	0.000006	0.000001	0.000005	0.000001		5715-329	Woss Music
